customer_id,age,monthly_income,employment_type,credit_score,existing_emi,loan_amount,loan_tenure,previous_default,loan_to_income,emi_to_income,default
1,59,118064.0,salaried,,41834.0,306807,36,1,0.2165541570673533,0.3543332429868546,1
2,49,141417.0,self_employed,622.0,32981.0,337399,18,0,0.19882039170208202,0.23321807137755715,0
3,35,131585.0,salaried,546.0,29789.0,163458,24,0,0.10351863814264543,0.22638598624463274,1
4,28,45346.0,salaried,645.0,14905.0,434703,6,0,0.798863185286464,0.3286949234772637,1
5,41,138152.0,salaried,502.0,30938.0,282360,24,0,0.1703196479240257,0.22394174532399097,0
6,59,126769.0,contract,,12300.0,387001,24,1,0.25440039231463,0.09702687565572024,1
7,39,117391.0,salaried,813.0,18202.0,323294,36,0,0.22949942215899571,0.15505447606716016,0
8,43,88143.0,salaried,826.0,3494.0,49910,12,0,0.04718657938425816,0.039640130242900744,1
9,31,51787.0,salaried,580.0,485.0,267493,12,0,0.4304378190150681,0.009365284723965474,0
10,31,48583.0,salaried,652.0,40312.0,485946,36,0,0.8335323055389745,0.8297552641870614,1
11,44,136943.0,contract,807.0,19399.0,447189,24,0,0.27212599402671184,0.14165747792877328,0
12,56,126233.0,salaried,798.0,44683.0,186482,18,0,0.12310700582784745,0.3539724160877108,1
13,60,29925.0,self_employed,566.0,36247.0,260798,6,0,0.7262545252018936,1.2112614870509608,1
14,44,98184.0,salaried,588.0,6929.0,304901,24,0,0.25878367826393983,0.07057157989081723,1
15,23,91515.0,self_employed,634.0,45174.0,211722,24,0,0.19279353111511774,0.49362399606621865,1
16,42,61069.0,salaried,701.0,28603.0,309567,6,1,0.4224279094139416,0.46837184168727175,0
17,22,115854.0,self_employed,678.0,45967.0,408481,18,0,0.2938188006744121,0.3967666200562777,1
18,44,69471.0,salaried,838.0,4937.0,491569,6,0,0.5896573150427277,0.07106562450518922,1
19,50,47705.0,self_employed,578.0,33431.0,121659,36,0,0.2125196520280893,0.700786081123572,0
20,58,143501.0,self_employed,584.0,39084.0,48742,6,0,0.028305261519664206,0.2723604713556003,0
21,22,131361.0,salaried,520.0,13074.0,265239,6,0,0.16826341151483318,0.09952725694840935,0
22,41,102273.0,self_employed,664.0,236.0,393974,24,0,0.32101499581186305,0.002307549402090483,1
23,53,38241.0,salaried,,23070.0,183939,24,0,0.40083287570931725,0.6032792029497137,1
24,32,65818.0,self_employed,736.0,11476.0,299127,12,0,0.3787299826795102,0.17435959767844664,1
25,42,,salaried,787.0,19727.0,307579,6,0,0.23886217426014458,0.18383702833925095,0
26,45,81920.0,salaried,684.0,39318.0,304312,36,0,0.3095621744791667,0.4799560546875,1
27,47,133642.0,self_employed,809.0,46632.0,354118,12,0,0.2208125689029896,0.3489322219062869,1
28,48,80453.0,salaried,654.0,18339.0,395984,6,0,0.4101607978157019,0.2279467515195207,1
29,36,37689.0,salaried,622.0,22539.0,133795,24,1,0.29583123280886553,0.5980259492159516,1
30,35,45844.0,contract,586.0,228.0,326995,36,0,0.5943980310036937,0.00497338801151732,1
31,23,110687.0,salaried,701.0,21444.0,309401,18,0,0.23293988152779158,0.19373548835906657,0
32,57,38365.0,salaried,539.0,27988.0,101475,12,0,0.22041574351622573,0.7295190929232374,1
33,27,113303.0,salaried,668.0,23199.0,174636,24,0,0.12844320097437845,0.2047518600566622,1
34,41,43523.0,self_employed,569.0,16092.0,63200,18,0,0.1210088152624283,0.36973554212715115,1
35,29,127105.0,contract,779.0,35654.0,453726,6,0,0.2974745289327721,0.2805082412178907,1
36,59,63888.0,contract,829.0,12451.0,143873,36,0,0.18766304574672343,0.1948879288755322,0
37,38,128884.0,self_employed,827.0,13991.0,56678,24,1,0.03664664866598388,0.10855497967164272,1
38,24,121968.0,salaried,526.0,12669.0,293917,24,1,0.200815651099742,0.10387150728059819,1
39,45,65110.0,salaried,844.0,6874.0,164406,36,0,0.21042082629396405,0.10557518046383044,0
40,34,146565.0,salaried,,29253.0,48701,24,0,0.027690217082295684,0.19959062531982397,1
41,29,97001.0,salaried,776.0,23989.0,490384,24,1,0.42128775304721944,0.24730672879661034,1
42,46,54767.0,salaried,794.0,19203.0,369884,6,0,0.5628145902946422,0.3506308543465956,0
43,22,44550.0,self_employed,787.0,2989.0,99468,12,0,0.18606060606060607,0.06709315375982043,1
44,40,149042.0,self_employed,753.0,42046.0,68528,18,0,0.038315821491033845,0.2821083989747856,1
45,48,113315.0,salaried,584.0,7138.0,21376,36,0,0.015720190030740266,0.06299254291135331,0
46,27,110494.0,contract,508.0,34761.0,241755,18,0,0.1823289047369088,0.31459626767064275,1
47,28,142424.0,contract,549.0,28917.0,491105,36,0,0.287349159317718,0.203034600909959,1
48,55,128855.0,self_employed,500.0,35813.0,341701,36,0,0.22098547462910506,0.2779325598540996,0
49,34,97681.0,salaried,503.0,6193.0,144395,24,0,0.12318584644574346,0.06340025184017363,1
50,37,116489.0,salaried,503.0,16157.0,425132,6,0,0.3041288590911302,0.13869979139661257,1
51,56,145546.0,salaried,589.0,18376.0,237651,36,0,0.13606866557651875,0.126255616780949,0
52,60,43900.0,salaried,661.0,19983.0,388819,18,1,0.7380770690964313,0.45519362186788154,1
53,24,29126.0,salaried,654.0,47027.0,247871,12,0,0.7091916729611573,1.6146055071070522,1
54,22,126198.0,contract,514.0,34073.0,86261,18,0,0.056961415130720505,0.26999635493430957,0
55,26,94303.0,salaried,531.0,22747.0,213288,6,0,0.1884775669915061,0.24121183843568073,1
56,24,82061.0,salaried,562.0,31626.0,463408,12,0,0.4705930141398878,0.38539622963405273,1
57,49,31978.0,salaried,607.0,38235.0,353949,24,1,0.9223763212208393,1.1956657702170241,1
58,38,71344.0,salaried,513.0,4459.0,200305,18,0,0.23396618262689692,0.0625,1
59,46,61648.0,salaried,522.0,5087.0,211527,18,0,0.2859338502465611,0.08251686997145082,0
60,54,16055.0,salaried,610.0,14898.0,337031,36,0,1.749356379113464,0.9279352226720647,1
61,30,90582.0,contract,820.0,41001.0,248570,36,0,0.22867861900451156,0.45263959727098096,0
62,56,96214.0,salaried,659.0,14758.0,195050,12,0,0.168937645942032,0.15338724094206665,0
63,34,122954.0,self_employed,540.0,47238.0,365269,24,0,0.2475648074347588,0.3841924622216439,1
64,51,,salaried,781.0,15121.0,114079,36,0,0.17694896851248643,0.2814518380642159,1
65,35,68380.0,salaried,803.0,17666.0,460757,18,0,0.5615153066198694,0.258350394852296,0
66,28,68333.0,salaried,643.0,46270.0,314555,12,0,0.3836055297830721,0.6771252542695331,1
67,34,57459.0,self_employed,787.0,,246993,36,0,0.3582162933570024,0.5569014427678867,1
68,43,131518.0,self_employed,652.0,47851.0,157745,36,1,0.0999514641848771,0.36383612889490413,0
69,60,51163.0,salaried,581.0,48915.0,304300,6,0,0.4956381239046446,0.9560619979281902,1
70,41,99730.0,salaried,725.0,48993.0,49856,12,1,0.041659146361843646,0.49125639225909956,1
71,36,34476.0,salaried,651.0,38877.0,361902,12,0,0.8747679545190857,1.1276540201879568,1
72,38,,self_employed,758.0,34888.0,146677,24,0,0.14624411741245913,0.41742043551088776,1
73,44,120576.0,salaried,817.0,44105.0,321054,36,0,0.22188909899150744,0.36578589437367304,0
74,46,,salaried,578.0,27258.0,317893,12,0,0.26075697472594894,0.26830588721663895,1
75,45,124071.0,salaried,,,473341,24,1,0.31792347392487635,0.11197620717170008,1
